Romaji,Japanese,Grammar Meaning,Level
ba,ば,conditional form; If [A] then [B],N4
ba ii,ばいい,"should, can, it’d be good if~",N3
ba~hodo,ば~ほど,the more… the more,N3
ba~noni,ば~のに,would have; should have; if only~,N3
bakari,ばかり,"about, approximately~",N2
bakari,ばかり,only; nothing but~,N4
bakari ka,ばかりか,not only.. but also; as well as~,N2
dake,だけ,only; just; as much as~,N5
dano~dano,だの~だの,and; and the like; and so forth,N1
demo,でも,… or something; how about~,N4
ga,が,subject marker; however; but~,N5
ga hayai ka,が早いか,as soon as~,N1
hodo,ほど,degree; extent; bounds; upper limit,N3
hodo~nai,ほど~ない,is not as… as~,N3
ikura~temo,いくら~ても,no matter how~,N3
ka,か,question particle,N5
ka shira,かしら,I wonder~,N4
ka~ka,か~か,or,N5
ka~nai ka no uchi ni,か~ないかのうちに,just as; right after; as soon as~,N2
kai,かい,turn sentence into a yes/no question,N4
kana,かな,I wonder; should I?,N4
kara,から,because; since; from,N5
kara~ni kakete,から〜にかけて,through; from [A] to [B],N3
kedo,けど,but; however; although~,N5
keredo mo,けれども,but; however; although~,N5
kiri,きり,only; just; since; after~,N3
kke,っけ,confirm / trying to remember,N3
koso,こそ,for sure; precisely; definitely~,N3
koto,こと,(must) do,N3
kurai / gurai,くらい・ぐらい,approximately; about; around,N3
kuse ni,くせに,and yet; although; despite the fact~,N3
made,まで,until; as far as; to (an extent); even~,N5
mo,も,as many as; as much as; up to~,N4
mo,も,too; also; as well,N5
mobamo,もばも,and; also; as well; either/or; neither,N3
mono / mon,もの / もん,because; indicates reason / excuse,N2
mono ka / mon ka,ものか / もんか,as if; there’s no way~,N2
monono,ものの,but; although; even though~,N2
moshimo~tara,もしも〜たら,if; in the case; supposing~,N3
na,な,don’t ~ (order to not do something),N4
naa,なあ,"confirmation; admiration, etc",N5
ne,ね,isn’t it? right? eh?,N5
ni,に,destination particle; in; at; on; to,N5
ni shite mo,にしても,even if; even though; regardless of~,N3
ni shite wa,にしては,for; considering it’s~,N3
ni totte,にとって,to; for; concerning; regarding~,N3
ni tsuite,について,concerning; regarding; about; on~,N3
ni wa,には,for the purpose of; in order to~,N3
ni/e,に/へ,to (indicates direction / destination),N5
nite,にて,"in, at, with, by (formal particle)",N2
no,の,possessive particle,N5
no desu,のです,to explain something; show emphasis,N5
node,ので,because of; given that; since,N5
noni,のに,"although, in spite of, even though~",N4
noni,のに,to (do something); in order to~,N4
nowa~da,のは〜だ,[A] is [B]; the reason for [A] is [B],N4
o / go,お / ご,polite marker; honorific prefix particle,N5
o / wo,を,object marker particle,N5
sae,さえ,even; so much as; not even,N3
sae~ba,さえ~ば,if only; as long as,N3
shi,し,and; and what’s more; emphasis~,N4
shikanai,しかない,have no choice but~,N3
sura / de sura,すら / ですら,even (with emphasis),N1
suuryou + wa,数量 + は,at least~,N3
ta bakari,たばかり,just finished; something just occurred,N4
ta mono da,たものだ,used to do; would often do,N3
ta tokoro de,たところで,even if~,N1
tara,たら,if; after; when~,N4
tari~tari,たり~たり,do such things as A and B,N5
tatte,たって,even if; even though; no matter how~,N3
te / de,て / で,"so; because of [A], [B]…",N4
temo,ても,even; even if; even though~,N4
tewa / dewa,ては / では,whenever; if; when~; repetitive action,N2
tewa~tewa,ては~ては,repetitive situations/actions,N2
to,と,"whenever [A] happens, [B] …",N4
to,と,and; with; as; connecting particle,N5
to ii / tara ii,といい / たらいい,it would be nice if; should; I hope~,N3
to iu,という,called; named; that~,N4
toka (de),とか(で),I heard that~,N2
toka~toka,とか~とか,among other things; such as; like~,N4
tomo,とも,even if; no matter; though~,N2
toshite,として,as~; in the role of~,N3
towa kagiranai,とは限らない,not necessarily so; is not always true,N3
tsutsu,つつ,while; even though; despite~,N2
tte,って,named; called~,N4
wa,は,topic marker,N5
wa betsu toshite,は別として,aside from; apart from; except for,N3
ya,や,and; or; connecting particle,N5
ya ina ya,や否や,as soon as; the moment~,N1
yara~yara,やら~やら,such as A and B; A + B and so on~,N2
yo,よ,you know; emphasis (ending particle),N5
yori,より,than; rather than; more than~,N4
~kara,~から,"from~ (a time, place, or person)",N2
yori ~hou ga,より~ほうが,[A] is more than [B],N5
yori~nohou,より〜のほう,in comparison to; rather; more than~,N3
ni kagiru,に限る,nothing better than; there’s no better way than~,N3
ni yotte,によって,depending on; due to; by means of,N3
ni yoru,による,depending on; due to; caused by,N3
ni taishite,に対して,toward; for; in contrast to,N3
ni oite,において,at; in; on (formal),N2
ni kanshite,に関して,regarding; concerning,N3
ni mukatte,に向かって,towards; to face,N3
ni tsurete,につれて,as… then…; in proportion to,N2
ni shitagatte,に従って,"as; in accordance with; as [A], so [B]",N2
to tomo ni,と共に,together with; at the same time as,N2
