日本語,かな,Meaning
ああ,,ah; yes
間に,あいだに,while; during (the time when)
あまり~ない,,"not very, not much~"
後で,あとで,after~; later
びっくり,,to be surprised
大分,だいぶ,considerably; greatly; a lot
できるだけ,,as much as possible
どんどん,,rapidly; more and more
普通,ふつう,usually
はっきり,,clearly
非常に,ひじょうに,extremely
いっぱい,,full
十分,じゅうぶん,enough; sufficient; plenty
かどうか,,whether or not~
必ず,かならず,always; certainly
きっと,,surely; undoubtedly; most likely
こう,,this way
くする,,to make something ~
急に,きゅうに,quickly; immediately; abruptly
までに,,by; by the time
まず,,first of all
みたいに,,like; similar to~
もし,,if; in case; supposing
もうすぐ,,soon
なかなか~ない,,not easy to; struggling to~
なるほど,,that’s right; indeed
の中で,のなかで,in; among~
さすが,,as is to be expected; even~
しっかり,,firmly; steadily
そんなに,,so much; so; like that
それほど,,to that extent
そろそろ,,gradually; soon
そうだ,,looks like; appears like; seeming~
すっかり,,completely
たいてい,,usually
たまに,,occasionally
特に,とくに,particularly; especially
到頭,とうとう,"finally, after all"
都合,つごう,convenience
やっぱり,,as I thought
やっと,,at last; finally; barely; narrowly~
より,,more
ぜひ,,by all means; certainly; definitely~
全然,ぜんぜん,not entirely (used in neg. sentence)
全然~ない,ぜんぜん~ない,(not) at all
